Stkcd,Company_name,Year,Total_assets,Total_liabilities,Operating_income,Net_profit,Equity
000001,PAYH,2020,4468779000000.0,4104819000000.0,456000000.0,363960000000.0,363960000000.0
000001,PAYH,2021,4921380000000.0,4525932000000.0,1785000000.0,395448000000.0,395448000000.0
000001,PAYH,2022,5321514000000.0,4886834000000.0,2660000000.0,434680000000.0,434680000000.0
000001,PAYH,2023,5587116000000.0,5114788000000.0,2264000000.0,472328000000.0,472328000000.0
000001,PAYH,2024,5769270000000.0,5274428000000.0,2127000000.0,494842000000.0,494842000000.0
002142,NBYH,2020,1626749000000.0,1507756000000.0,1100000000.0,118993000000.0,513000000.0
002142,NBYH,2021,2015607000000.0,1865607000000.0,4371000000.0,150000000000.0,576000000.0
002142,NBYH,2022,2366097000000.0,2197571000000.0,3651000000.0,168526000000.0,900000000.0
002142,NBYH,2023,2711662000000.0,2509452000000.0,5801000000.0,202210000000.0,1015000000.0
002142,NBYH,2024,3125232000000.0,2890972000000.0,15614000000.0,234260000000.0,1109000000.0
002807,JYYH,2020,142766234000.0,130506041000.0,101284000.0,12260193000.0,128700000.0
002807,JYYH,2021,153127599000.0,139961942000.0,112833000.0,13165657000.0,139862000.0
002807,JYYH,2022,168751396000.0,154335869000.0,136744000.0,14415527000.0,140563000.0
002807,JYYH,2023,186029579000.0,169953616000.0,172002000.0,16075963000.0,285289000.0
002807,JYYH,2024,200232115000.0,181373359000.0,236087000.0,18858756000.0,269066000.0
002839,ZJGH,2020,143817651264.21,132508113122.02,169573511.84,11309538142.19,104426339.94
002839,ZJGH,2021,164578715094.33,150012862359.34,376423905.99,14565852734.99,148544733.73
002839,ZJGH,2022,187532755025.44,171806977656.39,223026582.56,15725777369.05,164734027.17
002839,ZJGH,2023,207126798437.95,189915781319.07,440992140.0,17211017118.88,175016389.51
002839,ZJGH,2024,218908026873.13,199013275713.0,710567430.24,19894751160.13,171702643.14
002936,ZZYH,2020,547813444000.0,501841523000.0,-759159000.0,45971921000.0,1477024000.0
002936,ZZYH,2021,574979662000.0,515568122000.0,-242712000.0,59411540000.0,1645358000.0
002936,ZZYH,2022,596131114000.0,532939613000.0,-36241000.0,63191501000.0,1815403000.0
002936,ZZYH,2023,630709429000.0,576394573000.0,115343000.0,54314856000.0,1862032000.0
002936,ZZYH,2024,676365240000.0,620070469000.0,711788000.0,56294771000.0,1849740000.0
002948,QDYH,2020,459827605000.0,428920747000.0,32717000.0,30906858000.0,621684000.0
002948,QDYH,2021,522249610000.0,488921882000.0,746499000.0,33327728000.0,692233000.0
002948,QDYH,2022,536409742000.0,497877643000.0,667487000.0,38532099000.0,734172000.0
002948,QDYH,2023,607985372000.0,568046129000.0,947211000.0,39939243000.0,875304000.0
002948,QDYH,2024,689963033000.0,645063204000.0,2716533000.0,44899829000.0,967448000.0
002958,QNSH,2020,406811073000.0,377108681000.0,479959000.0,29702392000.0,860710000.0
002958,QNSH,2021,430787852000.0,397127711000.0,595515000.0,33660141000.0,875840000.0
002958,QNSH,2022,444211531000.0,408129666000.0,664386000.0,36081865000.0,875185000.0
002958,QNSH,2023,467936769000.0,428887839000.0,768731000.0,39048930000.0,938716000.0
002958,QNSH,2024,495032420000.0,453921297000.0,1337397000.0,41111123000.0,363983000.0
002966,SZYH,2020,388068080296.0,356837134537.0,162080681.0,31230945759.0,1500777796.0
002966,SZYH,2021,453029020092.0,418740192325.0,403871009.0,34288827767.0,1642877462.0
002966,SZYH,2022,524548689036.0,484086673129.0,303941862.0,40462015907.0,1932791548.0
002966,SZYH,2023,601841456223.0,554175309985.0,976662873.0,47666146238.0,2186160901.0
002966,SZYH,2024,693714073375.0,638458311182.0,1667795565.0,55255762193.0,2344710846.0
600000,PFYH,2020,7950218000000.0,7304401000000.0,3976000000.0,645817000000.0,7620000000.0
600000,PFYH,2021,8136757000000.0,7458539000000.0,2821000000.0,678218000000.0,8211000000.0
600000,PFYH,2022,8704651000000.0,7997876000000.0,-3053000000.0,706775000000.0,8903000000.0
600000,PFYH,2023,9007247000000.0,8274363000000.0,2107000000.0,732884000000.0,8135000000.0
600000,PFYH,2024,9461880000000.0,8717099000000.0,13036000000.0,744781000000.0,8452000000.0
600015,HXYH,2020,3399816000000.0,3117161000000.0,-714000000.0,282655000000.0,2042000000.0
600015,HXYH,2021,3676287000000.0,3375585000000.0,833000000.0,300702000000.0,2410000000.0
600015,HXYH,2022,3900167000000.0,3576845000000.0,-1581000000.0,323322000000.0,2865000000.0
600015,HXYH,2023,4254766000000.0,3933004000000.0,-803000000.0,321762000000.0,3183000000.0
600015,HXYH,2024,4379952000000.0,4050596000000.0,789000000.0,329356000000.0,3296000000.0
600016,MSYH,2020,7142641000000.0,6603764000000.0,477000000.0,538877000000.0,11460000000.0
600016,MSYH,2021,7069708000000.0,6482413000000.0,-1219000000.0,587295000000.0,11859000000.0
600016,MSYH,2022,7320580000000.0,6717869000000.0,-693000000.0,602711000000.0,12551000000.0
600016,MSYH,2023,7674965000000.0,7037164000000.0,2022000000.0,637801000000.0,13199000000.0
600016,MSYH,2024,7814969000000.0,7158401000000.0,7192000000.0,656568000000.0,13709000000.0
600036,ZSYH,2020,8361448000000.0,7631094000000.0,7448000000.0,730354000000.0,6604000000.0
600036,ZSYH,2021,9249021000000.0,8383340000000.0,12942000000.0,865681000000.0,6936000000.0
600036,ZSYH,2022,10138912000000.0,9184674000000.0,13975000000.0,954238000000.0,8735000000.0
600036,ZSYH,2023,11028483000000.0,9942754000000.0,16682000000.0,1085729000000.0,9359000000.0
600036,ZSYH,2024,12152036000000.0,10918561000000.0,43257000000.0,1233475000000.0,7461000000.0
600908,WXYH,2020,180018291000.0,165948002000.0,-24619000.0,14070289000.0,91150000.0
600908,WXYH,2021,203341525000.0,187780772000.0,1849000.0,15560753000.0,126294000.0
600908,WXYH,2022,211603401000.0,192083292000.0,74997000.0,19520109000.0,137653000.0
600908,WXYH,2023,234956165000.0,213756652000.0,183823000.0,21199513000.0,143500000.0
600908,WXYH,2024,256801132000.0,233434958000.0,416552000.0,23366174000.0,128027000.0
600919,JSYH,2020,2337892914000.0,2155813641000.0,1304697000.0,182079273000.0,4041534000.0
600919,JSYH,2021,2618874260000.0,2420818512000.0,2266574000.0,198055748000.0,5828670000.0
600919,JSYH,2022,2980294692000.0,2764863353000.0,993917000.0,215431339000.0,6798609000.0
600919,JSYH,2023,3403361837000.0,3144245806000.0,2168785000.0,259116031000.0,8706043000.0
600919,JSYH,2024,3952041570000.0,3638383352000.0,9283147000.0,313658218000.0,10068401000.0
600926,HZYH,2020,1170209707000.0,1089481080000.0,790343000.0,80728627000.0,80728627000.0
600926,HZYH,2021,1391370650000.0,1302040555000.0,2169750000.0,89330095000.0,89330095000.0
600926,HZYH,2022,1616538051000.0,1517964826000.0,1878500000.0,98573225000.0,98573225000.0
600926,HZYH,2023,1841330802000.0,1730037592000.0,3257070000.0,111293210000.0,111293210000.0
600926,HZYH,2024,2112355860000.0,1976307861000.0,5608592000.0,136047999000.0,136047999000.0
600928,XAYH,2020,306391591000.0,280768067000.0,43446000.0,25623524000.0,58138000.0
600928,XAYH,2021,345863917000.0,318260782000.0,59041000.0,27603135000.0,62274000.0
600928,XAYH,2022,405838548000.0,376590585000.0,123720000.0,29247963000.0,62424000.0
600928,XAYH,2023,432201362000.0,401275149000.0,69922000.0,30926213000.0,65568000.0
600928,XAYH,2024,480370120000.0,446898269000.0,303769000.0,33471851000.0,67694000.0
601009,NJYH,2020,1517075765000.0,1409042793000.0,90846000.0,108032972000.0,1156845000.0
601009,NJYH,2021,1748946747000.0,1626381955000.0,925664000.0,122564792000.0,1205007000.0
601009,NJYH,2022,2059483739000.0,1901784904000.0,-829319000.0,157698835000.0,1442643000.0
601009,NJYH,2023,2288275916000.0,2115681851000.0,648358000.0,172594065000.0,3032773000.0
601009,NJYH,2024,2591399702000.0,2399443325000.0,3773241000.0,191956377000.0,3426919000.0
601077,YNSH,2020,1135926443000.0,1041294362000.0,-686483000.0,94632081000.0,1403476000.0
601077,YNSH,2021,1265851070000.0,1159807055000.0,-445472000.0,106044015000.0,1531365000.0
601077,YNSH,2022,1351861116000.0,1236844964000.0,-921970000.0,115016152000.0,1732759000.0
601077,YNSH,2023,1447456543000.0,1325001666000.0,-307137000.0,122454877000.0,1922006000.0
601077,YNSH,2024,1517467458000.0,1385390233000.0,1615984000.0,132077225000.0,1915173000.0
601128,CSYH,2020,208685255000.0,189577801000.0,388381000.0,19107454000.0,1147382000.0
601128,CSYH,2021,246582821000.0,225446117000.0,572412000.0,21136704000.0,1348725000.0
601128,CSYH,2022,287881374000.0,263765708000.0,443168000.0,24115666000.0,1538093000.0
601128,CSYH,2023,334456430000.0,307325494000.0,624116000.0,27130936000.0,1774529000.0
601128,CSYH,2024,367302864000.0,338911527000.0,629103000.0,28391337000.0,1980639000.0
